name,code,abbreviation,region
NUJS,NUJS,NUJS,India
RMLNLU,RMLNLU,RMLNLU,India
"Faculty of Law, Jamia Millia Islamia",FLJMI,FLJMI,India
University School of Law and Legal Studies,USLLS,USLLS,India
NMIMS SOL,NMIMS SOL,NMIMS SOL,India
"Amity Law School, IP University",ALS,ALS,India
Presidency,Presidency,Presidency,India
Heritage,Heritage,Heritage,India
NLUO,NLUO,NLUO,India
Gargi,Gargi,Gargi,India
Nalsar,Nalsar,Nalsar,India
St.Xaviers,Xaviers,Xaviers,India
NITR,NITR,NITR,India
Christ,Christ,Christ,India
JGLS,JGLS,JGLS,India
IBA-JU,IBA-JU,IBA-JU,Bangladesh
University of Dhaka,University of Dhaka,UD,Bangladesh
NSU,NSU,NSU,Bangladesh
Scholastica Mirpur,Scholastica Mirpur,SM,Bangladesh
IUB,IUB,IUB,Bangladesh
Premier University Chittangong,PUC,PUC,Bangladesh
East West University,East West University,EWU,Bangladesh
Venky,Venky,Venky,India
Ambedkar University,AU,AU,India
IIT KGP,IITKGP,IITKGP,India
SRCC,SRCC,SRCC,India
MSR Law,MSR,MSR,India
KMC,KMC,KMC,India
IBA - DU,IBA - DU,IBA - DU,India
APU,APU,APU,Mal
Cross 1,Cross 1,Cross 1,India
Cross 2,Cross 2,Cross 2,India
Venky JGLS Ambedkar Cross,VJA,VJA,India
Stone Cold Steve Austin,SCSA,SCSA,India
ABEG,ABEG,ABEG,India
Accomodation,Acco,Acco,India
,,,
